transaction_id,customer_id,timestamp,channel,product_id,product_name,department,aisle,price
TXN_00001,CUST_0042,2025-08-02 23:30:06.396035,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00001,CUST_0158,2025-08-02 23:30:06.396035,online,18,Salt,Pantry,Spices,1.99
TXN_00001,CUST_0471,2025-08-02 23:30:06.396035,online,16,Olive Oil,Pantry,Oils,9.99
TXN_00001,CUST_0200,2025-08-02 23:30:06.396035,online,12,Pasta,Pantry,Pasta,2.99
TXN_00002,CUST_0492,2025-09-06 16:30:06.399051,online,21,Coffee,Beverages,Coffee,12.99
TXN_00002,CUST_0094,2025-09-06 16:30:06.399051,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00002,CUST_0369,2025-09-06 16:30:06.399051,online,12,Pasta,Pantry,Pasta,2.99
TXN_00002,CUST_0278,2025-09-06 16:30:06.399051,online,16,Olive Oil,Pantry,Oils,9.99
TXN_00002,CUST_0232,2025-09-06 16:30:06.399051,online,15,Toor Dal,Pantry,Pulses,4.99
TXN_00002,CUST_0119,2025-09-06 16:30:06.399051,online,10,Basmati Rice,Pantry,Rice,8.99
TXN_00003,CUST_0328,2025-11-13 02:30:06.400051,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00003,CUST_0038,2025-11-13 02:30:06.400051,online,5,Organic Tomatoes,Produce,Vegetables,2.49
TXN_00003,CUST_0369,2025-11-13 02:30:06.400051,online,8,Greek Yogurt,Dairy,Yogurt,5.99
TXN_00003,CUST_0104,2025-11-13 02:30:06.400051,online,18,Salt,Pantry,Spices,1.99
TXN_00003,CUST_0076,2025-11-13 02:30:06.400051,online,19,Black Pepper,Pantry,Spices,4.99
TXN_00004,CUST_0365,2025-10-10 20:30:06.402049,offline,21,Coffee,Beverages,Coffee,12.99
TXN_00004,CUST_0324,2025-10-10 20:30:06.402049,offline,6,Whole Milk,Dairy,Milk,3.99
TXN_00004,CUST_0428,2025-10-10 20:30:06.402049,offline,16,Olive Oil,Pantry,Oils,9.99
TXN_00004,CUST_0342,2025-10-10 20:30:06.402049,offline,2,Organic Strawberries,Produce,Fruit,4.99
TXN_00004,CUST_0163,2025-10-10 20:30:06.402049,offline,17,Sugar,Pantry,Baking,3.49
TXN_00005,CUST_0237,2025-10-30 19:30:06.403048,online,21,Coffee,Beverages,Coffee,12.99
TXN_00005,CUST_0171,2025-10-30 19:30:06.403048,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00005,CUST_0494,2025-10-30 19:30:06.403048,online,13,Eggs,Dairy,Eggs,4.99
TXN_00006,CUST_0319,2025-08-26 20:30:06.403048,online,21,Coffee,Beverages,Coffee,12.99
TXN_00006,CUST_0099,2025-08-26 20:30:06.403048,online,11,Whole Wheat Bread,Bakery,Bread,3.49
TXN_00006,CUST_0283,2025-08-26 20:30:06.403048,online,16,Olive Oil,Pantry,Oils,9.99
TXN_00006,CUST_0027,2025-08-26 20:30:06.403048,online,15,Toor Dal,Pantry,Pulses,4.99
TXN_00006,CUST_0486,2025-08-26 20:30:06.403048,online,10,Basmati Rice,Pantry,Rice,8.99
TXN_00007,CUST_0105,2025-12-06 02:30:06.404049,online,11,Whole Wheat Bread,Bakery,Bread,3.49
TXN_00007,CUST_0006,2025-12-06 02:30:06.404049,online,6,Whole Milk,Dairy,Milk,3.99
TXN_00007,CUST_0305,2025-12-06 02:30:06.404049,online,13,Eggs,Dairy,Eggs,4.99
TXN_00007,CUST_0426,2025-12-06 02:30:06.404049,online,12,Pasta,Pantry,Pasta,2.99
TXN_00008,CUST_0355,2025-12-30 05:30:06.405053,online,11,Whole Wheat Bread,Bakery,Bread,3.49
TXN_00008,CUST_0123,2025-12-30 05:30:06.405053,online,6,Whole Milk,Dairy,Milk,3.99
TXN_00008,CUST_0402,2025-12-30 05:30:06.405053,online,13,Eggs,Dairy,Eggs,4.99
TXN_00008,CUST_0380,2025-12-30 05:30:06.405053,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00009,CUST_0164,2025-08-09 21:30:06.406131,offline,21,Coffee,Beverages,Coffee,12.99
TXN_00009,CUST_0400,2025-08-09 21:30:06.406131,offline,6,Whole Milk,Dairy,Milk,3.99
TXN_00009,CUST_0070,2025-08-09 21:30:06.406131,offline,16,Olive Oil,Pantry,Oils,9.99
TXN_00009,CUST_0332,2025-08-09 21:30:06.406131,offline,17,Sugar,Pantry,Baking,3.49
TXN_00010,CUST_0443,2025-11-23 17:30:06.406131,online,21,Coffee,Beverages,Coffee,12.99
TXN_00010,CUST_0054,2025-11-23 17:30:06.406131,online,6,Whole Milk,Dairy,Milk,3.99
TXN_00010,CUST_0426,2025-11-23 17:30:06.406131,online,13,Eggs,Dairy,Eggs,4.99
TXN_00010,CUST_0112,2025-11-23 17:30:06.406131,online,16,Olive Oil,Pantry,Oils,9.99
TXN_00010,CUST_0499,2025-11-23 17:30:06.406131,online,3,Organic Baby Spinach,Produce,Vegetables,3.99
TXN_00010,CUST_0146,2025-11-23 17:30:06.406131,online,17,Sugar,Pantry,Baking,3.49
TXN_00011,CUST_0108,2025-07-26 03:30:06.407136,online,6,Whole Milk,Dairy,Milk,3.99
TXN_00011,CUST_0083,2025-07-26 03:30:06.407136,online,12,Pasta,Pantry,Pasta,2.99
TXN_00011,CUST_0230,2025-07-26 03:30:06.407136,online,8,Greek Yogurt,Dairy,Yogurt,5.99
TXN_00011,CUST_0437,2025-07-26 03:30:06.407136,online,3,Organic Baby Spinach,Produce,Vegetables,3.99
TXN_00011,CUST_0275,2025-07-26 03:30:06.407136,online,1,Organic Bananas,Produce,Fruit,0.69
TXN_00011,CUST_0395,2025-07-26 03:30:06.407136,online,2,Organic Strawberries,Produce,Fruit,4.99
TXN_00012,CUST_0127,2025-08-09 05:30:06.409136,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00012,CUST_0263,2025-08-09 05:30:06.409136,online,5,Organic Tomatoes,Produce,Vegetables,2.49
TXN_00012,CUST_0038,2025-08-09 05:30:06.409136,online,12,Pasta,Pantry,Pasta,2.99
TXN_00012,CUST_0426,2025-08-09 05:30:06.409136,online,13,Eggs,Dairy,Eggs,4.99
TXN_00012,CUST_0018,2025-08-09 05:30:06.409136,online,16,Olive Oil,Pantry,Oils,9.99
TXN_00012,CUST_0043,2025-08-09 05:30:06.409136,online,19,Black Pepper,Pantry,Spices,4.99
TXN_00013,CUST_0380,2026-01-04 18:30:06.412147,online,20,Orange Juice,Beverages,Juice,4.99
TXN_00013,CUST_0084,2026-01-04 18:30:06.412147,online,12,Pasta,Pantry,Pasta,2.99
TXN_00013,CUST_0278,2026-01-04 18:30:06.412147,online,8,Greek Yogurt,Dairy,Yogurt,5.99
TXN_00013,CUST_0124,2026-01-04 18:30:06.412147,online,7,Butter,Dairy,Butter,4.49
TXN_00013,CUST_0076,2026-01-04 18:30:06.412147,online,3,Organic Baby Spinach,Produce,Vegetables,3.99
TXN_00013,CUST_0062,2026-01-04 18:30:06.412147,online,10,Basmati Rice,Pantry,Rice,8.99
TXN_00013,CUST_0149,2026-01-04 18:30:06.412147,online,2,Organic Strawberries,Produce,Fruit,4.99
TXN_00014,CUST_0170,2025-12-31 19:30:06.414140,online,8,Greek Yogurt,Dairy,Yogurt,5.99
TXN_00014,CUST_0322,2025-12-31 19:30:06.414140,online,15,Toor Dal,Pantry,Pulses,4.99
TXN_00014,CUST_0034,2025-12-31 19:30:06.414140,online,2,Organic Strawberries,Produce,Fruit,4.99
TXN_00014,CUST_0015,2025-12-31 19:30:06.414140,online,1,Organic Bananas,Produce,Fruit,0.69
TXN_00015,CUST_0141,2025-11-22 23:30:06.415170,online,8,Greek Yogurt,Dairy,Yogurt,5.99
TXN_00015,CUST_0255,2025-11-22 23:30:06.415170,online,10,Basmati Rice,Pantry,Rice,8.99
TXN_00015,CUST_0120,2025-11-22 23:30:06.415170,online,2,Organic Strawberries,Produce,Fruit,4.99
TXN_00015,CUST_0132,2025-11-22 23:30:06.415170,online,1,Organic Bananas,Produce,Fruit,0.69
